car-id,overnightstay
20152711092730-427,yes
20152811092825-833,yes
20153511093540-438,no
20154911094955-742,yes
20155111095109-411,yes
20155111095142-349,yes
20155411095413-90,no
20150511100515-278,no
20151411101443-797,yes
20151711101721-357,no
20152511102520-964,yes
20152711102726-214,no
20152811102800-454,no
20153211103235-736,yes
20153411103404-448,yes
20154511104554-113,no
20154811104853-331,yes
20155511105551-991,no
20155711105736-603,no
20155811105829-794,no
20150211110249-463,no
20150411110416-472,yes
20150411110416-875,yes
20150911110911-657,no
20151611111649-796,yes
20151811111834-290,no
20152711112746-346,yes
20153311113332-277,yes
20154111114145-439,yes
20154511114515-568,yes
20154611114609-119,no
20155511115537-418,no
20155711115749-167,yes
20150011120023-724,yes
20151911121920-18,no
20152311122334-641,no
20153011123052-131,no
20153111123156-389,yes
20153311123344-106,no
20154911124924-532,yes
20155311125300-290,yes
20155511125500-140,yes
20155911125954-688,yes
20150311010308-753,yes
20152711012752-363,yes
20154011014020-687,yes
20154611014601-555,yes
20155111015128-341,no
20155211015231-940,yes
20155311015304-643,no
20155611015650-658,no
20155711015738-953,no
20155911015920-751,no
20150311020301-173,no
20150611020620-822,yes
20150711020755-31,no
20151211021211-921,no
20151811021803-685,yes
20151911021956-775,yes
20152211022237-502,yes
20152611022640-459,no
20152911022907-773,no
20153011023028-435,yes
20153011023048-461,yes
20154011024040-649,no
20154111024150-826,yes
20154211024216-107,yes
20150111030116-821,yes
20150211030246-951,yes
20150811030803-385,no
20150811030814-454,yes
20151111031143-227,no
20151311031335-56,no
20151911031933-491,yes
20152011032031-380,no
20152411032440-684,yes
20152711032704-985,yes
20152711032724-725,yes
20152911032957-286,no
20153311033321-730,yes
20154111034148-335,yes
20154211034247-278,yes
20154511034551-791,no
20154711034718-337,yes
20155011035028-722,no
20155311035305-535,yes
20155811035820-587,no
20155911035935-892,no
20150311040324-846,yes
20150611040639-499,no
20150911040954-143,no
20151111041119-158,yes
20151511041558-368,yes
20151811041814-115,yes
20152211042210-394,yes
20152211042257-697,no
20152311042309-856,no
20152511042559-219,no
20153111043103-266,yes
20153611043604-222,yes
20154611044614-561,yes
20155211045258-980,no
20155511045543-118,yes
20155811045827-264,yes
20150811050843-334,yes
20150811050851-143,yes
20150911050916-197,yes
20151611051619-74,yes
20151911051900-484,yes
20153711053702-226,yes
20154911054914-248,yes
20155511055549-788,no
20152811062804-277,no
20154211064214-600,no
20152311072310-506,no
20153711073745-667,no
20150711080709-92,no
20152611092650-295,no
20152711092738-80,no
20150711100726-153,no
20150611110616-649,no
20152012122004-665,no
20153112123111-6,no
20150212010257-58,no
20151412011420-157,no
20152712012701-812,no
20155012015023-139,no
20150412020410-578,no
20153512023527-222,no
20155812025810-206,no
20150612030609-600,no
20150712030716-264,no
20154212034222-845,no
20153812043859-808,no
20151912051921-419,no
20152412052457-971,no
20153612053612-84,no
20153712053749-134,no
20155112055113-398,no
20150112060145-428,yes
20150912060916-518,yes
20151012061013-969,no
20151612061624-150,yes
20152512062542-417,yes
20152512062545-262,yes
20153112063157-147,yes
20153312063341-591,yes
20153412063404-685,yes
20153512063509-117,yes
20153712063756-502,yes
20154212064205-889,yes
20154212064234-627,no
20154412064426-801,no
20155812065819-311,yes
20155912065905-84,no
20151312071346-110,no
20151612071620-287,no
20153612073632-445,yes
20151212081202-125,yes
20151612081618-367,no
20151612081630-430,yes
20153012083039-675,yes
20153312083351-142,no
20153812083855-78,no
20154012084012-918,no
20154712084755-402,yes
20154912084916-322,yes
20155012085048-766,yes
20150312090350-592,no
20150412090424-439,yes
20151412091419-116,yes
20152012092008-483,yes
20152012092025-317,no
20152212092223-877,no
20152312092334-13,yes
20152412092409-540,yes
20154012094002-636,no
20154112094107-810,yes
20154112094153-72,no
20154712094742-734,no
20155812095815-41,no
20151312101325-662,yes
20151612101618-908,yes
20153012103050-559,yes
20153512103509-707,no
20154212104231-5,yes
20154612104653-119,yes
20155112105111-296,yes
20150312110353-306,yes
20151512111517-621,yes
20152212112239-676,yes
20152412112444-843,no
20153912113915-546,no
20154212114201-175,yes
20154312114315-27,no
20155812115843-658,no
20151212121250-641,yes
20152612122652-844,yes
20152812122818-384,yes
20154612124636-207,yes
20154712124711-992,yes
20155112125144-954,yes
20155712125720-473,yes
20155812125816-703,yes
20151112011137-325,yes
20151312011312-740,yes
20151512011521-735,yes
20152012012031-178,yes
20152612012617-85,no
20152712012712-669,yes
20153712013720-181,yes
20154312014352-916,yes
20154612014642-990,yes
20154712014753-800,yes
20154912014949-287,no
20155412015422-478,no
20155812015855-673,yes
20151212021252-485,yes
20151812021854-880,yes
20152112022147-274,yes
20153012023040-460,yes
20153812023844-489,no
20154612024622-150,yes
20154712024716-747,yes
20155612025635-953,no
20150212030241-721,yes
20150312030310-797,no
20151412031428-824,yes
20151612031639-61,yes
20152012032040-682,yes
20152412032403-590,yes
20152612032640-395,yes
20153412033403-441,yes
20154312034301-370,no
20154912034912-249,yes
20155712035738-767,yes
20150212040259-674,no
20150912040902-568,no
20151312041356-837,no
20152012042036-344,yes
20153312043334-753,no
20153312043358-829,no
20153512043503-476,no
20153712043748-60,yes
20154112044111-362,no
20154112044115-553,no
20155912045938-711,no
20150112050122-27,yes
20151412051446-871,yes
20153312053318-51,yes
20153712053742-911,yes
20154812054846-708,yes
20154912054955-518,yes
20155712055713-620,yes
20151212061257-521,no
20155912065930-760,no
20152312072343-139,no
20152412072424-920,no
20151012081019-264,no
20151812081821-786,no
20150213120204-866,no
20150413120415-597,no
20150513120538-827,no
20152313012351-447,no
20150213020242-370,no
20152013022050-898,no
20154313024306-954,no
20152113032105-810,no
20153113033129-439,no
20153213033237-717,no
20155213035255-286,no
20154813044807-217,no
20155513045525-782,no
20155613045643-376,no
20150013050035-283,no
20150513060545-668,yes
20150613060630-368,no
20150913060957-927,no
20151113061132-529,yes
20151613061633-182,no
20151913061940-47,no
20152113062104-747,yes
20154613064658-613,yes
20155013065048-240,yes
20155313065353-837,no
20150313070357-430,yes
20152813072833-760,yes
20154113074143-823,yes
20154513074545-202,yes
20155813075840-171,yes
20151113081103-202,yes
20151413081417-823,yes
20152813082850-252,yes
20152913082912-781,yes
20154913084920-928,no
20155313085311-65,yes
20155813085849-77,no
20152513092550-113,yes
20154813094806-514,yes
20155213095212-354,no
20155413095429-78,yes
20150213100244-187,yes
20150913100957-928,no
20151513101517-292,no
20151513101527-164,no
20152513102558-161,yes
20153313103323-868,no
20153813103815-223,yes
20155713105709-55,yes
20150013110015-112,yes
20151813111802-162,no
20152113112105-375,no
20152313112315-738,no
20153013113059-327,yes
20153713113703-493,no
20153713113721-137,no
20154113114117-693,yes
20154513114555-897,yes
20155513115543-669,yes
20151113121156-771,yes
20152713122724-631,no
20154913124955-986,yes
20155013125054-239,no
20150413010454-578,no
20150513010513-305,no
20151113011118-560,no
20151313011306-451,no
20151713011710-914,yes
20153213013210-111,yes
20153613013647-912,yes
20153913013912-134,yes
20154113014144-954,no
20155313015324-374,yes
20150213020216-787,yes
20150713020758-120,yes
20150913020924-298,no
20151413021408-91,yes
20152613022643-189,yes
20152913022951-47,no
20153013023021-720,yes
20153313023303-282,yes
20150813030831-751,no
20151013031002-411,no
20151113031115-28,yes
20152313032302-271,yes
20153813033817-519,yes
20154813034829-169,yes
20150513040505-528,no
20151013041011-524,yes
20151713041735-900,no
20152413042403-986,yes
20152513042503-895,no
20152813042802-5,yes
20153113043100-622,yes
20153913043954-902,no
20154213044259-545,yes
20155713045735-33,yes
20150413050412-329,yes
20151313051340-385,yes
20153013053056-41,yes
20153613053658-337,yes
20154513054503-598,no
20155513055509-610,yes
20150713070728-480,no
20152013072042-964,no
20153113073127-124,no
20153813083845-656,no
20155213085238-710,no
20152213092251-545,no
20154113094135-208,no
20153713103736-380,no
20154513104537-799,no
20155413105409-831,no
20155413105458-607,no
20153213113258-720,yes
20152814122810-380,no
20150014010052-857,no
20150214010242-372,no
20154614014631-25,no
20152014022005-721,no
20155114025112-526,no
20153714033720-570,no
20151414041406-386,no
20154214044236-612,no
20150514050503-4,no
20151314051309-415,no
20155114055105-317,no
20155314055358-658,no
20155514055522-182,no
20150214060215-80,yes
20151614061628-86,no
20151914061910-935,no
20152114062143-72,yes
20152714062757-568,yes
20152914062912-293,yes
20153814063811-775,no
20154114064117-879,no
20154214064232-812,yes
20155414065449-822,no
20150214070205-409,yes
20151614071608-934,yes
20152314072344-822,no
20152614072648-135,yes
20153114073159-646,no
20153414073455-915,yes
20153514073546-814,yes
20153814073818-418,yes
20154014074047-814,no
20154614074610-36,no
20155614075656-559,yes
20151114081116-872,yes
20153214083255-828,yes
20153714083754-335,no
20154214084221-294,no
20151814091820-723,yes
20152014092002-743,no
20152114092153-665,no
20152814092813-494,no
20153514093512-261,no
20153614093623-198,no
20154414094410-181,no
20154914094924-417,no
20155514095514-716,yes
20151214101217-551,yes
20152514102555-759,yes
20154914104905-829,yes
20155914105910-953,yes
20155914105935-996,no
20150914110948-268,yes
20151514111514-132,yes
20152614112602-965,yes
20152714112748-458,no
20152914112948-207,yes
20150514120512-102,yes
20151014121052-483,no
20151514121511-340,yes
20151914121950-965,yes
20152014122034-385,yes
20152514122548-18,no
20153014123021-320,no
20153414123429-267,yes
20153914123913-490,yes
20155014125011-81,yes
20155314125319-412,yes
20150514010523-466,yes
20151814011844-434,no
20155514015554-802,yes
20150914020923-661,no
20151114021155-680,no
20151414021427-933,yes
20152014022023-745,no
20153114023113-795,no
20153914023918-636,yes
20154214024242-219,no
20154414024400-712,yes
20154914024933-528,no
20155014025035-354,no
20155214025202-174,no
20155414025452-910,yes
20155514025524-996,no
20150414030411-239,no
20150514030514-420,yes
20151814031806-332,no
20154314034325-940,no
20154514034553-145,yes
20151014041044-388,no
20151714041736-450,no
20153814043805-677,no
20153914043938-754,yes
20154414044430-854,no
20155114045132-71,no
20155314045352-623,no
20150314050311-620,yes
20151314051327-38,yes
20152014052009-210,yes
20152614052608-658,yes
20152614052641-115,yes
20153014053026-5,yes
20154114054132-501,yes
20155114055130-358,yes
20153414063455-629,no
20151714071756-170,no
20151914071914-273,no
20154814074821-814,no
20155614075643-621,no
20151914081920-478,no
20153014083053-943,no
20152314092359-912,no
20151714101756-632,no
20150214110221-163,yes
20151014111038-871,yes
20152414112449-719,no
20153014113059-564,yes
20151115121128-639,no
20151315121352-5,no
20152215012252-40,no
20150415030438-398,no
20151015031015-762,no
20153815043826-432,no
20151515051510-708,no
20150515060533-667,no
20150715060721-327,no
20153515063542-487,no
20153915063956-500,no
20154415064448-712,yes
20155215065201-621,no
20150015070013-394,no
20150415070401-918,yes
20151315071343-468,no
20153915073941-58,yes
20153915073941-756,yes
20154715074737-500,yes
20155715075716-596,yes
20150115080143-276,yes
20150215080233-547,no
20153515083525-148,no
20154315084342-476,no
20154615084621-811,yes
20150415090454-392,yes
20150615090601-623,yes
20150715090713-496,no
20151315091329-68,yes
20152215092206-481,yes
20153415093431-204,yes
20154315094344-834,yes
20154915094902-140,no
20155915095908-262,no
20150115100135-182,yes
20150815100834-958,yes
20150815100857-72,yes
20152515102557-50,no
20152715102715-129,yes
20152715102727-628,yes
20153915103957-558,no
20155415105401-84,yes
20150115110144-566,yes
20151215111234-603,yes
20152515112517-831,yes
20153215113217-764,yes
20153615113617-365,yes
20153615113626-103,no
20154115114133-930,no
20154615114612-209,yes
20150015120027-493,no
20151315121354-235,yes
20154215124253-8,yes
20150915010905-807,yes
20154315014354-14,no
20155315015313-84,yes
20155415015401-576,yes
20152115022106-782,yes
20153015023001-696,yes
20153915023936-819,no
20154015024017-709,no
20154215024235-585,no
20150315030313-186,yes
20152415032400-232,no
20155215035252-945,no
20155915035921-666,no
20150315040346-314,yes
20151115041148-836,yes
20151415041441-660,yes
20151515041521-240,no
20151715041752-244,no
20152515042527-388,no
20155115045124-265,no
20155515045550-909,yes
20155715045720-815,yes
20150115050115-511,yes
20153015053016-75,yes
20153015053022-392,no
20153015053056-910,yes
20154015054004-779,no
20154515054556-394,yes
20154615054615-774,yes
20155115055126-836,yes
20155915055956-404,yes
20151515091504-639,no
20152315092322-945,no
20152815092813-971,no
20151815101840-564,no
20151315111315-406,yes
20154315114305-241,yes
20155315115341-748,yes
20150516020525-348,no
20154216034202-965,no
20155616035659-555,no
20151016041029-215,no
20153916043914-989,no
20155716045716-337,no
20150516050544-785,no
20155116055134-838,no
20150816060823-385,yes
20150816060849-742,yes
20151816061843-103,yes
20153316063306-527,yes
20153416063401-279,no
20155916065950-407,yes
20150016070028-165,no
20150616070600-982,no
20150616070612-761,yes
20151416071434-670,no
20152416072430-9,yes
20152516072549-566,yes
20153516073525-833,yes
20153516073556-77,no
20155616075650-682,yes
20150516080500-163,yes
20152216082220-757,yes
20152816082835-10,yes
20155916085912-350,yes
20150016090024-567,no
20151016091014-990,no
20152816092824-175,no
20152916092950-546,no
20153016093048-836,no
20153616093612-196,yes
20154016094058-683,no
20154716094703-30,no
20155516095512-766,no
20150516100504-950,no
20150716100718-333,yes
20151916101912-704,yes
20152016102045-529,no
20152816102821-282,yes
20152816102825-722,yes
20154216104239-427,yes
20155416105428-103,yes
20155816105854-480,no
20150116110131-176,no
20150616110614-272,no
20153816113806-724,yes
20154316114304-382,no
20154916114909-624,no
20155516115547-576,yes
20155816115844-637,no
20150216120249-701,no
20152516122531-638,yes
20152716122736-950,yes
20150316010332-387,yes
20150616010629-916,no
20152416012433-808,yes
20153416013430-901,yes
20154616014649-510,yes
20155016015015-241,yes
20155316015308-618,no
20155916015917-666,yes
20150216020236-229,no
20151116021105-602,yes
20152216022232-679,yes
20152616022625-64,no
20152716022735-871,yes
20153616023658-518,yes
20153816023809-93,no
20153816023820-577,yes
20154216024201-733,yes
20150216030218-144,yes
20150316030322-873,no
20150316030333-652,yes
20150916030932-958,yes
20151116031103-753,yes
20151116031124-797,no
20151416031431-532,no
20152616032618-514,yes
20153916033930-668,yes
20153916033945-707,no
20154116034139-452,yes
20154516034505-603,yes
20155616035612-493,yes
20151216041200-755,yes
20152616042649-259,yes
20152716042757-275,no
20154416044414-95,yes
20155716045735-932,no
20155916045900-996,yes
20155916045927-980,no
20150516050556-38,no
20152316052346-175,yes
20152416052437-776,no
20153716053741-328,yes
20154416054424-28,yes
20155216055209-787,yes
20152316062304-669,no
20154116064140-496,no
20153516073518-157,no
20153816073829-738,no
20153516083538-63,no
20153916083938-856,no
20150216090217-343,no
20153916093939-270,no
20155516095548-928,no
20155716095708-980,no
20153217123203-129,no
20153717013712-983,no
20153817023845-441,no
20155817045800-659,no
20150317050329-424,no
20154017054027-841,no
20154317054301-688,no
20150117060105-392,yes
20150417060422-422,no
20150717060746-729,yes
20151217061258-570,no
20151817061821-681,no
20152217062234-111,yes
20152817062832-264,yes
20152817062846-890,yes
20153017063038-619,no
20153117063125-391,yes
20153217063258-545,yes
20153917063918-461,no
20154217064210-311,no
20154617064600-936,yes
20155117065115-489,yes
20155417065414-463,yes
20155517065511-650,yes
20155717065720-517,yes
20150017070009-324,no
20150217070227-343,yes
20150417070431-372,yes
20150817070821-454,yes
20150917070930-301,yes
20151317071311-118,yes
20151917071946-6,no
20152517072551-546,yes
20152917072944-998,yes
20153417073421-124,no
20153517073559-757,no
20153817073832-550,yes
20153817073856-948,no
20154617074637-396,no
20155117075129-610,yes
20155417075428-77,yes
20150217080254-664,yes
20151417081416-876,no
20151517081557-258,yes
20151617081652-70,yes
20152917082925-523,yes
20153117083124-431,yes
20153317083347-992,yes
20153517083522-960,yes
20153717083746-738,yes
20154017084021-729,no
20154417084454-73,no
20154617084605-731,no
20155517085542-741,yes
20155617085640-226,yes
20155717085756-850,no
20155817085808-370,yes
20150517090518-811,yes
20150517090533-187,yes
20152217092227-37,no
20152517092529-612,yes
20152917092938-198,yes
20153317093336-203,yes
20153417093447-138,no
20154317094332-218,no
20154517094544-833,yes
20155117095115-322,no
20155317095355-5,yes
20155617095644-506,no
20155917095958-769,yes
20150217100259-352,yes
20150517100545-515,yes
20150917100917-854,no
20151117101156-58,no
20151217101212-140,yes
20152317102301-124,yes
20153017103045-244,yes
20153017103047-976,yes
20154217104217-430,yes
20154217104228-732,yes
20154517104552-372,no
20155017105044-579,yes
20155217105212-400,yes
20155217105224-269,no
20155317105335-21,yes
20155517105518-795,no
20150417110455-279,no
20150517110524-251,yes
20150917110936-396,yes
20152117112144-981,no
20153117113158-376,no
20153717113702-835,yes
20154117114103-565,yes
20154317114331-457,yes
20154417114443-51,yes
20154417114443-748,yes
20155217115255-205,yes
20155517115531-683,no
20155517115552-543,yes
20155617115643-257,yes
20155817115803-248,no
20150817120835-419,yes
20151217121243-265,yes
20151317121347-174,no
20151617121648-62,no
20151717121704-659,yes
20153817123810-726,no
20155317125332-60,yes
20150517010500-796,yes
20151617011611-701,yes
20151817011850-621,yes
20152017012016-482,yes
20152217012232-158,yes
20152617012640-251,no
20152917012956-923,yes
20153617013601-315,yes
20153617013645-103,yes
20154217014250-905,no
20155617015617-226,no
20155917015932-755,yes
20150317020307-698,no
20151517021543-275,no
20151717021725-292,yes
20152117022136-22,yes
20152317022313-873,no
20152317022335-709,no
20152617022639-188,no
20153417023410-606,no
20153817023845-593,yes
20153917023952-510,yes
20154117024110-233,no
20154717024753-295,no
20151217031233-634,no
20152117032144-298,yes
20152217032234-627,yes
20152517032501-916,yes
20153017033002-607,no
20153617033658-794,yes
20153817033857-516,yes
20150717040709-500,no
20150817040808-175,no
20150817040833-849,yes
20150917040954-744,no
20151417041407-785,no
20151517041512-160,no
20153417043413-536,yes
20153417043449-622,no
20153917043928-276,no
20154217044214-559,yes
20154317044339-251,yes
20154517044506-783,yes
20155417045444-36,yes
20150717050734-803,yes
20151117051123-614,yes
20154017054050-144,no
20154117054141-402,yes
20154417054458-449,yes
20155517055510-758,yes
20155717055740-498,no
20152517072521-921,no
20150817090808-166,no
20154317094341-230,no
20150317100334-591,no
20151217101228-746,no
20151517101525-353,no
20152317102350-322,no
20150217110211-163,no
20153617113627-467,yes
20154117114109-151,yes
20151918121925-121,no
20151918121956-963,no
20155118125132-310,no
20155118025117-248,no
20155918025940-886,no
20154118034109-720,no
20152118042132-912,no
20151518051513-233,no
20150518060503-716,no
20151518061551-586,yes
20151918061901-392,yes
20152418062431-881,no
20152818062808-408,no
20153118063141-523,no
20154618064654-392,yes
20154718064731-707,no
20150618070642-761,no
20151018071045-954,no
20151518071528-59,no
20152318072357-176,yes
20152618072621-823,no
20152618072637-79,no
20153818073802-881,no
20154318074307-961,no
20154818074851-145,yes
20155318075328-481,yes
20155718075721-632,no
20152118082127-664,yes
20152418082414-70,no
20153118083132-731,no
20153118083155-709,no
20155218085224-640,yes
20155218085232-407,yes
20155618085617-440,yes
20150518090500-717,yes
20150918090900-326,no
20150918090928-755,yes
20152618092632-650,no
20152818092849-712,yes
20153518093541-631,no
20155518095558-521,yes
20155618095623-707,yes
20151318101338-951,yes
20152018102004-940,yes
20152218102211-392,yes
20152618102646-953,no
20152718102738-773,no
20153618103651-556,no
20154718104700-129,no
20151418111432-774,yes
20151518111558-749,yes
20153318113337-404,yes
20153518113501-500,yes
20153618113644-795,yes
20153718113750-118,yes
20153818113831-85,yes
20154018114036-212,yes
20154118114130-34,yes
20154218114238-384,yes
20154818114855-997,yes
20155118115127-143,yes
20155318115320-812,no
20150218120246-220,yes
20150418120456-58,no
20150718120741-816,no
20151718121705-459,no
20152918122930-367,yes
20152918122941-170,no
20153918123921-858,yes
20151418011444-201,yes
20151518011531-224,yes
20152718012719-661,yes
20152818012813-881,yes
20152818012854-987,no
20153018013026-319,yes
20153118013100-425,yes
20153118013159-469,no
20153318013311-102,yes
20153718013726-245,yes
20154918014930-425,yes
20155518015540-221,no
20150018020030-238,yes
20150518020552-26,no
20151618021648-198,yes
20152118022105-958,yes
20152118022130-931,no
20152518022508-403,no
20152818022812-310,yes
20154018024000-428,yes
20154218024228-691,yes
20154718024735-27,no
20155518025531-71,no
20150418030419-69,yes
20152018032036-787,no
20153418033431-409,yes
20154018034028-142,yes
20154018034049-540,yes
20155318035351-42,no
20150418040454-388,yes
20150818040832-50,yes
20150918040950-592,no
20151018041035-645,no
20151118041143-934,yes
20151518041531-923,yes
20151918041903-926,no
20152118042118-402,yes
20152518042537-745,yes
20152618042637-966,no
20154618044618-128,yes
20154718044706-170,yes
20154718044746-266,no
20154918044905-819,no
20155118045112-456,no
20155218045221-583,no
20155418045421-624,yes
20155718045728-397,no
20155918045905-885,yes
20150318050336-762,no
20150618050611-599,yes
20150818050817-70,yes
20150818050836-609,yes
20151318051330-957,yes
20151618051609-530,yes
20153018053053-129,yes
20153618053610-340,yes
20155118055120-195,yes
20154218064237-120,no
20154818064822-736,no
20153318073306-87,no
20153918103955-36,no
20150718110706-765,yes
20155018115018-119,yes
20150319120359-872,no
20150719120727-862,no
20150919120948-627,no
20155619125600-198,no
20155519015513-86,no
20151219031239-975,no
20152419032446-621,no
20152919032901-939,no
20153319033341-735,no
20154819034826-640,no
20155719045735-713,no
20153219053231-560,no
20150219060208-152,yes
20150219060243-351,yes
20150219060245-412,no
20150619060603-933,yes
20151319061333-620,yes
20151919061928-62,yes
20152219062237-780,no
20152619062644-549,no
20152819062830-519,yes
20153419063421-197,yes
20153719063729-533,yes
20153719063742-10,no
20153719063754-548,no
20154119064147-274,no
20154319064317-874,no
20155019065049-871,yes
20150619070601-944,yes
20152119072136-180,yes
20154119074113-792,yes
20150919080932-475,yes
20150919080957-489,no
20151219081244-360,no
20152519082511-770,yes
20153219083225-701,yes
20155019085012-883,yes
20155219085255-410,yes
20155919085959-705,yes
20150319090314-498,yes
20151119091154-119,yes
20152119092102-380,yes
20152219092238-393,yes
20153219093219-284,yes
20154219094203-849,yes
20154319094356-421,no
20154619094656-211,no
20155519095518-431,yes
20150119100134-582,no
20151019101010-336,yes
20151019101012-506,yes
20153519103528-888,yes
20153819103829-614,yes
20154219104241-223,yes
20154419104442-444,no
20155319105326-404,yes
20155619105610-134,yes
20155819105843-176,no
20150519110532-708,no
20150619110604-788,yes
20150819110841-229,no
20152019112015-444,yes
20152419112454-313,no
20152519112516-176,no
20152819112837-9,no
20152819112852-444,yes
20154219114228-262,yes
20155019115035-365,yes
20150219120223-913,yes
20150319120301-287,yes
20150719120749-370,yes
20152819122822-975,no
20152819122847-981,yes
20152919122944-137,yes
20155519125535-358,yes
20155719125713-529,yes
20150019010004-372,yes
20150019010017-785,yes
20150119010140-843,yes
20150419010438-909,no
20151019011020-645,yes
20151419011455-979,no
20152619012615-221,no
20152919012921-527,no
20153419013456-499,yes
20154819014838-806,yes
20150319020304-688,yes
20151519021534-355,yes
20152419022425-210,yes
20152919022934-701,no
20153519023513-548,yes
20153719023756-293,yes
20154719024718-326,yes
20155119025114-185,yes
20155719025743-55,no
20150019030052-865,no
20150319030320-589,no
20151119031125-461,yes
20153019033053-367,yes
20154519034526-395,yes
20154919034934-127,yes
20155219035228-248,yes
20155319035337-279,yes
20150319040353-167,no
20150519040533-38,yes
20150619040651-207,yes
20151319041336-619,yes
20151719041717-410,yes
20151719041725-731,yes
20152119042123-730,yes
20152819042821-876,yes
20153019043019-743,yes
20153219043201-719,yes
20154119044145-356,no
20154319044337-154,yes
20154819044802-78,yes
20155419045453-296,no
20155519045538-646,no
20150619050617-947,no
20151219051238-555,yes
20152619052654-46,yes
20153619053636-962,yes
20153719053715-589,yes
20153819053827-500,yes
20153919053954-565,yes
20154519054555-68,no
20154619054626-112,yes
20155419055407-635,yes
20150119070106-803,no
20151319071328-344,no
20154719074700-456,no
20152419082409-947,no
20152719082724-919,no
20152719082732-854,no
20154719084742-211,no
20155719085750-434,no
20153419093404-219,no
20153419093456-231,no
20150119100120-362,no
20151419101423-391,no
20152319102346-104,no
20154819104819-123,no
20155419105438-666,no
20150320120345-328,no
20155920015924-138,no
20154520024559-236,no
20155920025926-706,no
20152520032534-568,no
20154120044149-948,no
20154920044917-452,no
20155220045244-126,no
20155720045733-479,no
20150320050325-256,no
20152020052000-192,no
20152220052216-995,no
20152820052838-613,no
20155420055440-323,no
20152020062024-190,yes
20152120062137-97,no
20154020064005-519,no
20154320064328-347,yes
20154520064525-417,yes
20154920064901-960,no
20154920064940-777,no
20155220065205-214,no
20155820065827-219,yes
20150120070135-951,no
20150220070258-78,no
20150920070902-234,yes
20153320073331-255,yes
20154020074034-240,no
20155820075822-76,no
20155820075838-714,yes
20151320081334-545,yes
20151920081908-214,yes
20151920081921-606,yes
20153320083339-666,yes
20155420085411-184,no
20150420090410-374,yes
20150820090811-228,yes
20150820090832-399,yes
20150820090851-701,yes
20150920090915-26,yes
20150920090936-12,no
20151520091516-280,no
20151720091715-120,yes
20152520092520-405,yes
20153720093737-980,no
20154120094127-321,yes
20155320095322-283,no
20155320095336-544,yes
20155720095723-531,yes
20150220100257-488,no
20150420100416-232,yes
20150720100717-213,yes
20151520101518-94,yes
20151620101652-108,yes
20151820101807-35,no
20151820101815-744,yes
20151820101849-472,yes
20151920101907-951,yes
20153820103805-986,no
20154420104403-205,no
20155520105535-51,yes
20150220110204-775,no
20150420110453-920,yes
20152720112757-579,no
20154920114956-385,yes
20155220115228-339,no
20155420115417-321,yes
20155620115651-849,yes
20152320122309-834,no
20152620122646-486,no
20155620125614-440,yes
20150120010150-561,no
20150320010324-914,yes
20153320013348-524,no
20153520013555-33,yes
20154020014041-64,no
20154120014128-465,yes
20154320014344-198,yes
20150220020253-931,no
20153220023240-486,yes
20153620023617-93,no
20154020024044-998,yes
20150620030629-901,yes
20151020031037-765,yes
20151320031302-558,no
20151320031302-782,no
20152120032107-809,yes
20152420032437-451,no
20153520033501-999,no
20153620033616-263,no
20153720033720-23,no
20153820033815-384,no
20155320035313-723,no
20150820040859-305,no
20151420041437-875,yes
20151820041854-851,yes
20154420044401-882,no
20155020045059-811,yes
20155320045300-526,no
20155420045459-752,no
20155520045513-443,yes
20153220053251-142,yes
20155920055919-29,yes
20152620062601-225,no
20153220063237-851,no
20153920063926-150,no
20155020065025-936,no
20150020070057-880,no
20150920070942-773,no
20153320073301-191,no
20152920082932-271,no
20153020093058-300,no
20153420113429-940,yes
20154420114457-164,yes
20154720114730-404,yes
20151121121155-143,no
20151821121857-283,no
20154921014906-178,no
20155321035317-361,no
20150121040107-161,no
20150821040834-905,no
20151121051118-213,no
20151221051211-612,no
20152621052652-607,no
20150221060206-207,yes
20150921060955-618,no
20152021062038-745,yes
20152421062416-977,yes
20154621064635-298,no
20155621065651-543,no
20151621071645-193,yes
20152221072217-797,yes
20152421072403-434,yes
20154621074640-128,no
20155221075249-459,yes
20150021080000-521,yes
20150321080345-584,yes
20150521080539-229,no
20152621082654-458,no
20152721082743-391,yes
20152921082952-995,yes
20153021083029-997,yes
20153321083338-524,no
20153521083522-988,yes
20150821090838-129,no
20151121091124-890,no
20151221091244-979,yes
20151621091605-465,yes
20151721091717-824,no
20152921092906-775,no
20152921092910-77,no
20152921092932-891,yes
20154021094037-540,yes
20154121094145-294,yes
20154421094452-315,no
20150921100948-225,no
20152021102039-123,no
20152221102210-862,yes
20153521103532-680,yes
20150521110550-615,no
20151721111744-664,yes
20153721113747-248,yes
20154121114123-822,no
20154421114410-110,no
20150521120547-745,yes
20150621120624-302,no
20150821120804-638,no
20151121121126-475,yes
20151621121625-608,yes
20152421122448-609,yes
20154521124559-589,no
20154821124856-434,yes
20155521125533-941,yes
20155921125915-293,no
20150221010248-121,no
20150421010452-980,yes
20151021011021-123,yes
20151521011536-810,yes
20151621011611-3,yes
20155021015058-471,yes
20155121015153-897,yes
20150121020117-781,yes
20150221020226-361,no
20151021021029-879,no
20151921021945-394,yes
20152521022518-901,no
20152821022856-627,no
20153021023001-6,no
20153221023224-607,no
20153521023550-202,no
20154221024240-685,no
20154821024843-807,yes
20151121031117-949,yes
